FID,OBJECTID,LENGTH,PEREN_ID,LU_CODE,STREAM_NM,FLAG,STREAM_COD,SHAPESTLen,ORIG_FID,POINT_X,POINT_Y,RASTERVALU
114,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.754925877999,21.319745075000,1158.790039
115,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.754761828999,21.319901950000,1178.98999
116,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.754555310999,21.320090119000,1210.76001
117,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.754373283000,21.320237828000,1236.719971
118,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.753979980999,21.320451712000,1269.849976
119,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.753833702999,21.320631302000,1290.26001
120,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.753451731000,21.321206620000,1344.23999
121,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.753369179999,21.321269233000,1358.319946
122,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.753245865999,21.321331559000,1384.979981
123,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.753034602000,21.321501632000,1435.099976
124,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.752952028000,21.321577805000,1453.660034
125,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.752864245000,21.321694585000,1476.660034
126,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.752840795999,21.321771199000,1487.439941
127,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.752782032999,21.321883677000,1502.719971
128,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.752752554000,21.321942175000,1510.540039
129,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.752670386000,21.322104168000,1533.829956
130,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.752641122000,21.322144611000,1537.449951
131,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.752535120999,21.322283838000,1551.630005
132,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.752482431000,21.322387334000,1558.069946
133,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.752428906000,21.322441140000,1563.060059
134,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.752341312999,21.322553402000,1577.719971
135,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.752234883000,21.322728770000,1600.709961
136,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.752134971000,21.322849983000,1618.420044
137,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.752082739000,21.322899273000,1627.810059
138,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.751964794000,21.323042934000,1650.23999
139,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.751912339999,21.323114817000,1662.25
140,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.751882869000,21.323168797000,1668.930054
141,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.751865524000,21.323218354000,1672.979981
142,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.751800233000,21.323389502000,1697.319946
143,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.751559329000,21.323816811000,1753.030029
144,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.751494763000,21.323884084000,1769.819946
145,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.751259420999,21.324063001000,1822.660034
146,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.751224288000,21.324098876000,1831.410034
147,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.751141741999,21.324156981000,1852
148,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.751089486000,21.324219831000,1867.449951
149,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.751007773999,21.324327618000,1894.060059
150,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.750989328000,21.324377174000,1901.98999
151,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.750942274000,21.324512326000,1922
152,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.750877882999,21.324584115000,1937.180054
153,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.750837095999,21.324705760000,1947.640015
154,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.750666983999,21.324858073000,1969.709961
155,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.750531324000,21.324942874000,1994.199951
156,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.750272360999,21.325080968000,2048.610107
157,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.750172905999,21.325147983000,2069.25
158,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.750137588000,21.325183857000,2078.159912
159,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.749867341999,21.325371548000,2131.600098
160,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.749679719000,21.325455969000,2160.909912
161,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.752571759999,21.306258480000,520.1779785
162,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.752413531000,21.306456043000,523.8179932
163,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.752366308000,21.306478274000,525.6270142
164,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.752330988000,21.306518665000,528.4379883
165,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.752225909000,21.306554017000,537.940979
166,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.752108039000,21.306661546000,551.4949951
167,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.752008339000,21.306773727000,564.5360107
168,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.751966479000,21.306881811000,572.5159912
169,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.751955618000,21.307008210000,575.9039917
170,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.751938031000,21.307093899000,579.4110107
171,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.751896458000,21.307468482000,592.7390137
172,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.751872582999,21.307581227000,599.007019
173,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.751867129000,21.307657965000,602.6740112
174,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.751844333000,21.307784272000,611.8380127
175,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.751773211999,21.307932798000,628.1279907
176,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.751691074999,21.308081244000,638.2249756
177,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.751508355999,21.308319275000,660.4219971
178,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.751503122999,21.308373442000,659.9609985
179,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.751168656999,21.308881349000,694.8709717
180,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.750522308999,21.309784425000,760.8540039
181,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.750405231000,21.309964228000,776.4689941
182,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.750274757999,21.310139408000,791.3800049
183,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.750134758999,21.310300971000,808.0980225
184,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.749952525999,21.310466739000,830.1489868
185,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.749817081999,21.310542508000,844.1160278
186,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.749687306999,21.310631887000,854.8880005
187,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.749288250000,21.310791511000,881.5300293
188,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.749141774999,21.310876242000,892.9550171
189,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.749100586999,21.310912074000,896.2139893
190,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.749042062999,21.310992937000,898.6469727
191,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.748947759999,21.311168385000,906.3699951
192,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.748765074999,21.311383831000,924.4639893
193,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.748547847999,21.311720974000,942.9509888
194,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.748524223999,21.311793071000,948.1389771
195,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.748342576999,21.312044649000,968.3900146
196,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.748271681999,21.312166076000,973.2509766
197,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.748231349000,21.312238051000,980.0570068
198,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.748172364999,21.312373109000,989.4650269
199,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.748112714000,21.312575923000,1000.98999
200,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.748089289000,21.312638987000,1007.080017
201,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.748042413999,21.312778655000,1018.450012
202,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.748019859999,21.312868820000,1023.450012
203,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.747948957000,21.312994763000,1031.079956
204,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.747942445999,21.313044401000,1031.890015
205,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.747843294000,21.313368871000,1036.51001
206,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.747807496999,21.313472489000,1037.890015
207,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.747766466999,21.313630275000,1042.119995
208,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.747743262999,21.313670747000,1044.479981
209,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.747679075000,21.313841907000,1051.920044
210,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.747678623000,21.313891597000,1053.5
211,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.747578557999,21.314319942000,1074.77002
212,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.747503029999,21.314572315000,1088.060059
213,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.747467666999,21.314743690000,1101.880005
214,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.747426651000,21.314892442000,1115.839966
215,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.747402757000,21.315014220000,1127.069946
216,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.747426921999,21.315163447000,1134.969971
217,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.747456120000,21.315267562000,1138.469971
218,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.747550276999,21.315394733000,1135.050049
219,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.747620412000,21.315503652000,1137.73999
220,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.747637923000,21.315571543000,1139.949951
221,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.747625733000,21.315720500000,1147.810059
222,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.747596635000,21.315878379000,1157.069946
223,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.747526168000,21.315963664000,1165.369995
224,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.747438402000,21.316071418000,1183.349976
225,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.747385917999,21.316161355000,1193.48999
226,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.747350747000,21.316328213000,1206.23999
227,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.747350221999,21.316526955000,1214.73999
228,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.747121679000,21.317460231000,1270.780029
229,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.747050288999,21.317653918000,1285.939941
230,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.747027059000,21.317816354000,1301.180054
231,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.747010147999,21.318254353000,1331.849976
232,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.746956759999,21.318443659000,1350.160034
233,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.746915677999,21.318736946000,1367.479981
234,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.746868594000,21.318890163000,1378.400024
235,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.746833033000,21.318962167000,1386.599976
236,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.746792706000,21.319029626000,1393.119995
237,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.746745026000,21.319101536000,1406.140015
238,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.746592386999,21.319348813000,1444.979981
239,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.746093043000,21.319832910000,1508.959961
240,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.746011111000,21.319963277000,1518.280029
241,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.745952106000,21.320107378000,1529.859985
242,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.745952262999,21.320229331000,1534.180054
243,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.745940776999,21.320287962000,1536.48999
244,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.745893289000,21.320355367000,1538.310059
245,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.745852508000,21.320472494000,1546.75
246,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.745875758000,21.320725608000,1558.680054
247,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.745899350000,21.320779991000,1562.689941
248,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.745987219999,21.320934219000,1575.77002
249,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.746069483000,21.321038715000,1587.359985
250,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.746122743000,21.321138478000,1599.949951
251,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.746216656000,21.321301791000,1626.800049
252,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.746211198999,21.321378529000,1641.130005
253,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.746240524999,21.322047233000,1782.449951
254,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.746258065000,21.322097058000,1791.439941
255,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.746293562000,21.322169589000,1803.209961
256,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.746334045999,21.322224094000,1811.949951
257,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.746381867999,21.322283169000,1825.060059
258,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.746428642000,21.322310618000,1830.729981
259,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.746510666999,21.322446728000,1857.400024
260,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.746569986999,21.322546543000,1874.729981
261,1434,6932.753,396,C, ,1,3-3-,6932.628285,3,-157.746593087000,21.322673187000,1890.609985
