"","subcatchment","Curve_Number","Slope","percent_imp","Area_sqft","total_precip_in","total_runon_in","total_evap_in","total_infil_in","imperv_runoff_in","perv_runoff_in","total_runoff_in","total_runoff_10_6_gal","peak_runoff_cfs","runoff_coeff","runoff_normalized","Urbanization_level"
"70",70,59.24870466,18.90064401,38.95121684,236054.897,2.7,0,0,0.93,0.98,0.44,1.42,0.21,5.5,0.525,6.0155498489828e-06,"Urbanized (Between 15 and 45 % Impervious)"
"71",71,58.22480265,1.229756545,63.33945328,161251.173,2.7,0,0,0.57,1.55,0.24,1.78,0.18,5.73,0.66,1.10386793899478e-05,"Very urbanized (More than 45 % Impervious)"
"72",72,59.32936266,3.150903879,45.27106014,352887.1791,2.7,0,0,0.83,1.46,0.36,1.46,0.32,8.87,0.539,4.13729964268912e-06,"Very urbanized (More than 45 % Impervious)"
"73",73,52.91550998,10.67842504,25.5618759,592047.0484,2.7,0,0,1.32,0.93,0.3,0.93,0.34,8.41,0.344,1.57082110706119e-06,"Urbanized (Between 15 and 45 % Impervious)"
"74",74,45.63212165,0.513034194,49.9518791,1593473.115,2.7,0,0,0.99,1.13,0.03,1.16,1.15,34.84,0.43,7.27969608699674e-07,"Very urbanized (More than 45 % Impervious)"
"75",75,57.16000036,3.103798958,49.96926038,646779.5547,2.7,0,0,0.81,1.2,0.25,1.45,0.59,17.83,0.538,2.24187667878983e-06,"Very urbanized (More than 45 % Impervious)"
"76",76,61.94713271,12.66893273,21.94615359,1533842.77,2.7,0,0,1.09,0.54,0.32,0.86,0.82,19.05,0.317,5.60683283072097e-07,"Urbanized (Between 15 and 45 % Impervious)"
"77",77,47.55275509,0.063163121,27.73969292,519621.8684,2.7,0,0,1.4,0.65,0.05,0.69,0.22,7.33,0.257,1.32788868591043e-06,"Urbanized (Between 15 and 45 % Impervious)"
"78",78,42.51235661,0.662519556,45.86953124,1272102.338,2.7,0,0,1.12,1.06,0.03,1.08,0.86,28.56,0.402,8.48988298927252e-07,"Very urbanized (More than 45 % Impervious)"
"79",79,42.64163649,0.780962719,55.67441413,703208.6192,2.7,0,0,0.91,1.31,0.04,1.35,0.59,20.56,0.5,1.91977169098954e-06,"Very urbanized (More than 45 % Impervious)"
"80",80,42.06349546,0,34.72397236,328301.2434,2.7,0,0,1.36,0,0,0,0,0,0,0,"Urbanized (Between 15 and 45 % Impervious)"
"81",81,43.01181935,0.202127771,53.67397184,288828.9172,2.7,0,0,0.95,1.27,0.05,1.32,0.24,8.31,0.49,4.57017951248269e-06,"Very urbanized (More than 45 % Impervious)"
"82",82,52.36590093,12.98454078,50.03240953,65510.58194,2.7,0,0,0.89,1.26,0.26,1.52,0.06,1.82,0.561,2.32023583822251e-05,"Very urbanized (More than 45 % Impervious)"
"83",83,66.33976614,33.80248846,0,249137.794,2.7,0,0,1.17,0,0.89,0.89,0.14,2.12,0.329,3.57232030400012e-06,"Natural (less than 15 % Impervious)"
"84",84,62.10954935,27.63411142,4.567331708,862615.6123,2.7,0,0,1.33,0.11,0.54,0.66,0.35,3.94,0.244,7.65114832828305e-07,"Natural (less than 15 % Impervious)"
"85",85,62,30.45274774,0.488281567,287422.7561,2.7,0,0,1.39,0.01,0.73,0.75,0.13,2.17,0.276,2.60939673036557e-06,"Natural (less than 15 % Impervious)"
"86",86,62,32.79587617,0,259891.6286,2.7,0,0,1.4,0,0.75,0.75,0.12,2.13,0.279,2.88581823139185e-06,"Natural (less than 15 % Impervious)"
"87",87,62,32.53339197,0.354659927,220569.3952,2.7,0,0,1.39,0.01,0.74,0.74,0.1,1.68,0.276,3.3549532079417e-06,"Natural (less than 15 % Impervious)"
"88",88,58.86032285,12.4884884,45.34938012,245841.817,2.7,0,0,0.84,1.14,0.35,1.48,0.23,6.34,0.55,6.02013122934248e-06,"Very urbanized (More than 45 % Impervious)"
"89",89,58.82176935,12.26721668,54.37988009,929708.7833,2.7,0,0,0.7,1.32,0.28,1.61,0.93,28.35,0.595,1.73172506156746e-06,"Very urbanized (More than 45 % Impervious)"
"90",90,60.40234513,32.04143777,3.833246125,919388.5521,2.7,0,0,1.42,0.1,0.49,0.58,0.33,3.9,0.216,6.3085405911919e-07,"Natural (less than 15 % Impervious)"
"91",91,61.92057367,7.225773467,49.19776606,543493.0873,2.7,0,0,0.71,1.21,0.39,1.6,0.54,15.54,0.591,2.94391968801035e-06,"Very urbanized (More than 45 % Impervious)"
"92",92,61.12416364,32.32297981,0.359272275,364994.4568,2.7,0,0,1.44,0.01,0.65,0.66,0.15,1.97,0.246,1.80824663965143e-06,"Natural (less than 15 % Impervious)"
"93",93,37.87740782,0.094002039,26.0080801,520654.21,2.7,0,0,1.61,0.61,0.01,0.62,0.2,7.11,0.23,1.1908095394062e-06,"Urbanized (Between 15 and 45 % Impervious)"
"94",94,57.41689744,36.32299579,0,3624922.752,6.24,0,0,2.41,0,1.84,1.84,4.16,40.33,0.295,5.07597023684106e-07,"Natural (less than 15 % Impervious)"
"95",95,61.07100846,25.74114412,34.04731109,322086.5192,2.7,0,0,0.95,0.85,0.44,1.29,0.26,6.35,0.477,4.00513502770656e-06,"Urbanized (Between 15 and 45 % Impervious)"
"96",96,60.25322483,31.66308143,9.212696318,628696.5923,2.7,0,0,1.34,0.23,0.52,0.75,0.29,4.11,0.278,1.1929442742106e-06,"Natural (less than 15 % Impervious)"
"97",97,59.01045859,12.80407377,47.90957767,218448.3655,2.7,0,0,0.8,1.2,0.34,1.54,0.21,5.96,0.571,7.04972086412796e-06,"Very urbanized (More than 45 % Impervious)"
