STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,TIME,QGAG,Measurement Flag,Quality Flag,Units,QPCP,Measurement Flag,Quality Flag,Units
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19780712,11:00,-9999, , , ,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19780714,8:45,-9999, , , ,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19780715,11:15,-9999, , , ,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19780717,3:45,-9999, , , ,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19780801,0:15,-9999, , , ,0,g, ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19780821,5:15,-9999, , , ,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19780821,7:45,-9999, , , ,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19780825,13:00,-9999, , , ,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19780901,0:15,-9999, , , ,0,g, ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19780901,7:45,-9999, , , ,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19780901,8:00,-9999, , , ,0.2, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19780912,20:30,-9999, , , ,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19780915,17:45,-9999, , , ,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19780922,7:15,-9999, , , ,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19780923,2:15,-9999, , , ,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19781001,0:15,-9999, , , ,0,g, ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19781008,15:45,-9999, , , ,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19781011,8:15,-9999, , , ,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19781018,4:45,-9999, , , ,0.2, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19781022,8:00,-9999, , , ,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19781022,8:45,-9999, , , ,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19781029,1:45,-9999, , , ,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19781029,2:15,-9999, , , ,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19781030,8:15,-9999, , , ,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19781030,9:15,-9999, , , ,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19781030,10:00,-9999, , , ,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19781030,10:15,-9999, , , ,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19781030,10:30,-9999, , , ,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19781030,10:45,-9999, , , ,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19781030,11:00,-9999, , , ,0.1, , ,HT
