"name","from_node","to_node","length","roughness","inoffset","outoffset","initflow","maxflow"
"C3086","J253","J344",591.071361835306,0.01,0,0,0,0
"C3087","J344","J353",137.630177099055,0.01,0,0,0,0
"C3087","J353","J308",1620.24720702905,0.01,0,0,0,0
"C30901","J308","J313",29.0725173125967,0.01,0,0,0,0
"C30901","J313","J296",2659.27857137416,0.01,0,0,0,0
"C3104","J296","J326",187.78972675077,0.01,0,0,0,0
"C3104","J326","J128",2964.54641481753,0.01,0,0,0,0
"C31046","J128","J124",53.6609793219483,0.01,0,0,0,0
"C31046","J124","J31",509.441771417426,0.01,0,0,0,0
"C31047","J31","J45",210.558457613452,0.01,0,0,0,0
"C31047","J45","J358",3221.34252235268,0.01,0,0,0,0
"C3105","J358","J332",160.945267544261,0.01,0,0,0,0
"C3105","J332","J91",2862.51710105805,0.01,0,0,0,0
"C31140","J91","J110",360.084625538785,0.01,0,0,0,0
"C31140","J110","J662",6963.55026719698,0.01,0,0,0,0
"C3115","J662","J652",140.777242161174,0.01,0,0,0,0
"C3115","J652","J649",88.0786868099381,0.01,0,0,0,0
"C3116","J649","J652",88.0786868099381,0.01,0,0,0,0
"C3116","J652","J630",479.926111851583,0.01,0,0,0,0
"C3117","J630","J634",106.977353874285,0.01,0,0,0,0
"C3117","J634","J634",0,0.01,0,0,0,0
"C3118","J634","J643",200.846242920406,0.01,0,0,0,0
"C3118","J643","J548",2205.0878435885,0.01,0,0,0,0
"C31185","J548","J547",68.3653966836211,0.01,0,0,0,0
"C31185","J547","J525",1629.55035817654,0.01,0,0,0,0
"C31186","J525","J529",153.080396426706,0.01,0,0,0,0
"C31186","J529","J109",3502.02082999104,0.01,0,0,0,0
"C31292","J109","J84",137.934661557731,0.01,0,0,0,0
"C31292","J84","J85",3168.5594897553,0.01,0,0,0,0
"C31353","J85","J126",213.3183963574,0.01,0,0,0,0
"C31353","J126","J622",5380.84598334482,0.01,0,0,0,0
"C31448","J622","J640",139.87850422245,0.01,0,0,0,0
"C31448","J640","J216",5431.91824970631,0.01,0,0,0,0
"C31466","J216","J196",65.9106770135772,0.01,0,0,0,0
"C31466","J196","J392",6397.20283652319,0.01,0,0,0,0
"C31480","J392","J397",390.67335179762,0.01,0,0,0,0
"C31480","J397","J397",0,0.01,0,0,0,0
"C31481","J397","J401",171.645271613292,0.01,0,0,0,0
"C31481","J401","J438",3090.36476102213,0.01,0,0,0,0
"C31691","J438","J448",83.2460400116935,0.48,0,0,0,0
"C31691","J448","J478",2044.349014033,0.48,0,0,0,0
"C31722","J478","J459",114.017565495277,0.83,0,0,0,0
"C31722","J459","J459",0,0.83,0,0,0,0
"C31723","J459","J454",194.539070491891,0.58,0,0,0,0
"C31723","J454","J306",4091.1295101649,0.58,0,0,0,0
