"node","x","y"
"J258",-157.754085531,21.289190524
"J257",-157.754086725,21.289136006
"J552",-157.746249404,21.292284624
"J608",-157.745364489,21.292132159
"J447",-157.748384932,21.291914611
"J471",-157.747793588,21.29198197
"J201",-157.754706122,21.298079695
"J177",-157.755283127,21.297949501
"J487",-157.747499073,21.292625161
"J479",-157.747737198,21.292346132
"J134",-157.755861398,21.303591767
"J167",-157.755400132,21.2929417
"J571",-157.745910876,21.289677375
"J594",-157.74562576,21.289365911
"J562",-157.74612593,21.294394343
"J560",-157.746141334,21.294133226
"J266",-157.753928814,21.287170109
"J277",-157.753688169,21.28748453
"J483",-157.747558838,21.290368012
"J467",-157.747849128,21.290311412
"J605",-157.745404554,21.286089914
"J574",-157.745888329,21.285681192
"J455",-157.748173908,21.289662287
"J451",-157.748265735,21.289566233
"J219",-157.754549933,21.275864618
"J166",-157.755407698,21.278532726
"J549",-157.746299597,21.288362976
"J557",-157.746169509,21.288284036
"J191",-157.7548046,21.295726595
"J188",-157.754900048,21.295516871
"J395",-157.750603804,21.2793202053
"J390",-157.75108903,21.279024994
"J410",-157.749678599,21.325443967
