"link","shape","geom1","geom2","geom3","geom4","barrels","culvert"
425,"CIRCULAR","18",0,0,0,NA,0
426,"CIRCULAR","18",0,0,0,NA,0
427,"CIRCULAR","18",0,0,0,NA,0
428,"CIRCULAR","18",0,0,0,NA,0
429,"CIRCULAR","18",0,0,0,NA,0
430,"CIRCULAR","18",0,0,0,NA,0
431,"CIRCULAR","18",0,0,0,NA,0
434,"CIRCULAR","30",0,0,0,NA,0
435,"CIRCULAR","30",0,0,0,NA,0
436,"CIRCULAR","42",0,0,0,NA,0
437,"CIRCULAR","42",0,0,0,NA,0
438,"CIRCULAR","24",0,0,0,NA,0
439,"CIRCULAR","24",0,0,0,NA,0
440,"CIRCULAR","18",0,0,0,NA,0
441,"CIRCULAR","18",0,0,0,NA,0
442,"CIRCULAR","24",0,0,0,NA,0
443,"CIRCULAR","24",0,0,0,NA,0
444,"CIRCULAR","24",0,0,0,NA,0
445,"CIRCULAR","24",0,0,0,NA,0
446,"CIRCULAR","18",0,0,0,NA,0
447,"CIRCULAR","18",0,0,0,NA,0
448,"CIRCULAR","48",0,0,0,NA,0
449,"CIRCULAR","48",0,0,0,NA,0
450,"CIRCULAR","18",0,0,0,NA,0
451,"CIRCULAR","18",0,0,0,NA,0
452,"CIRCULAR","18",0,0,0,NA,0
453,"CIRCULAR","18",0,0,0,NA,0
454,"CIRCULAR","30",0,0,0,NA,0
455,"CIRCULAR","30",0,0,0,NA,0
456,"CIRCULAR","18",0,0,0,NA,0
457,"CIRCULAR","18",0,0,0,NA,0
458,"CIRCULAR","24",0,0,0,NA,0
459,"CIRCULAR","24",0,0,0,NA,0
460,"CIRCULAR","30",0,0,0,NA,0
461,"CIRCULAR","30",0,0,0,NA,0
462,"CIRCULAR","18",0,0,0,NA,0
463,"CIRCULAR","18",0,0,0,NA,0
464,"CIRCULAR","18",0,0,0,NA,0
465,"CIRCULAR","18",0,0,0,NA,0
466,"CIRCULAR","18",0,0,0,NA,0
467,"CIRCULAR","18",0,0,0,NA,0
468,"CIRCULAR","48",0,0,0,NA,0
469,"CIRCULAR","48",0,0,0,NA,0
470,"CIRCULAR","18",0,0,0,NA,0
471,"CIRCULAR","18",0,0,0,NA,0
472,"CIRCULAR","24",0,0,0,NA,0
473,"CIRCULAR","24",0,0,0,NA,0
474,"CIRCULAR","18",0,0,0,NA,0
475,"CIRCULAR","18",0,0,0,NA,0
476,"CIRCULAR","24",0,0,0,NA,0
477,"CIRCULAR","24",0,0,0,NA,0
478,"CIRCULAR","36",0,0,0,NA,0
479,"CIRCULAR","36",0,0,0,NA,0
480,"CIRCULAR","18",0,0,0,NA,0
481,"CIRCULAR","18",0,0,0,NA,0
482,"CIRCULAR","24",0,0,0,NA,0
483,"CIRCULAR","24",0,0,0,NA,0
484,"CIRCULAR","24",0,0,0,NA,0
485,"CIRCULAR","24",0,0,0,NA,0
486,"CIRCULAR","18",0,0,0,NA,0
487,"CIRCULAR","18",0,0,0,NA,0
488,"CIRCULAR","18",0,0,0,NA,0
489,"CIRCULAR","18",0,0,0,NA,0
490,"CIRCULAR","18",0,0,0,NA,0
491,"CIRCULAR","18",0,0,0,NA,0
492,"CIRCULAR","23",0,0,0,NA,0
493,"CIRCULAR","23",0,0,0,NA,0
494,"CIRCULAR","30",0,0,0,NA,0
495,"CIRCULAR","30",0,0,0,NA,0
496,"CIRCULAR","18",0,0,0,NA,0
497,"CIRCULAR","18",0,0,0,NA,0
498,"CIRCULAR","42",0,0,0,NA,0
499,"CIRCULAR","42",0,0,0,NA,0
500,"CIRCULAR","18",0,0,0,NA,0
501,"CIRCULAR","18",0,0,0,NA,0
504,"CIRCULAR","24",0,0,0,NA,0
505,"CIRCULAR","24",0,0,0,NA,0
506,"CIRCULAR","24",0,0,0,NA,0
507,"CIRCULAR","24",0,0,0,NA,0
508,"CIRCULAR","18",0,0,0,NA,0
509,"CIRCULAR","18",0,0,0,NA,0
510,"CIRCULAR","18",0,0,0,NA,0
511,"CIRCULAR","18",0,0,0,NA,0
512,"CIRCULAR","18",0,0,0,NA,0
513,"CIRCULAR","18",0,0,0,NA,0
514,"CIRCULAR","18",0,0,0,NA,0
515,"CIRCULAR","18",0,0,0,NA,0
518,"CIRCULAR","23",0,0,0,NA,0
519,"CIRCULAR","23",0,0,0,NA,0
520,"CIRCULAR","18",0,0,0,NA,0
521,"CIRCULAR","18",0,0,0,NA,0
522,"CIRCULAR","48",0,0,0,NA,0
523,"CIRCULAR","48",0,0,0,NA,0
524,"CIRCULAR","18",0,0,0,NA,0
525,"CIRCULAR","18",0,0,0,NA,0
526,"CIRCULAR","18",0,0,0,NA,0
527,"CIRCULAR","18",0,0,0,NA,0
530,"CIRCULAR","23",0,0,0,NA,0
531,"CIRCULAR","23",0,0,0,NA,0
532,"CIRCULAR","24",0,0,0,NA,0
533,"CIRCULAR","24",0,0,0,NA,0
534,"CIRCULAR","18",0,0,0,NA,0
535,"CIRCULAR","18",0,0,0,NA,0
536,"CIRCULAR","18",0,0,0,NA,0
537,"CIRCULAR","18",0,0,0,NA,0
538,"CIRCULAR","18",0,0,0,NA,0
539,"CIRCULAR","18",0,0,0,NA,0
540,"CIRCULAR","24",0,0,0,NA,0
541,"CIRCULAR","24",0,0,0,NA,0
542,"CIRCULAR","30",0,0,0,NA,0
543,"CIRCULAR","30",0,0,0,NA,0
544,"CIRCULAR","18",0,0,0,NA,0
545,"CIRCULAR","18",0,0,0,NA,0
546,"CIRCULAR","60",0,0,0,NA,0
547,"CIRCULAR","60",0,0,0,NA,0
548,"CIRCULAR","18",0,0,0,NA,0
549,"CIRCULAR","18",0,0,0,NA,0
550,"CIRCULAR","24",0,0,0,NA,0
551,"CIRCULAR","24",0,0,0,NA,0
552,"CIRCULAR","24",0,0,0,NA,0
553,"CIRCULAR","24",0,0,0,NA,0
554,"CIRCULAR","24",0,0,0,NA,0
555,"CIRCULAR","24",0,0,0,NA,0
