OBJECTID_12,OBJECTID,PolygonID,StreamLink,StreamLen,DSNodeID,DSWSID,US1WSID,US2WSID,Area_M,Area_Acre,Area_SqMi,AveSlope,Shape_Leng,Percent_Ar,OBJECTID_1,POLYGONI_1,VALUE_1,ORIG_FID,POINT_X,POINT_Y
87,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7487441,21.32676478
88,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7486963,21.32671925
89,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7486485,21.32667373
90,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7486007,21.3266282
91,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7486011,21.32658304
92,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7486015,21.32653787
93,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7485536,21.32649235
94,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7485058,21.32644682
95,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7485062,21.32640166
96,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7485066,21.32635649
97,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7484588,21.32631097
98,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7484109,21.32626544
99,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7483631,21.32621992
