"node1","x_coord","y_coord"
168,-157.754727758779,21.2864993457682
169,-157.751932169434,21.286760007968
170,-157.752552014564,21.2864886501312
171,-157.752660131959,21.2863852973437
172,-157.752509571959,21.2859623569772
173,-157.753564093608,21.2859285604547
174,-157.753788900737,21.2858635097932
175,-157.75230716964,21.2890905767687
176,-157.752388119416,21.2889865818653
177,-157.757301106761,21.2889829989663
178,-157.757225476475,21.2889796202134
179,-157.757225476475,21.2889796202134
180,-157.757160968104,21.288911263644
181,-157.755417213234,21.2887552249737
182,-157.755480842067,21.2886881076701
183,-157.755541537312,21.2886204291895
184,-157.754335085995,21.2910274052905
185,-157.753819039717,21.2906931173935
186,-157.75697175794,21.2907708179189
187,-157.75710813833,21.2906718475278
188,-157.756712265758,21.2907132747978
189,-157.756486550314,21.2906585114812
190,-157.752860652897,21.291404160074
191,-157.752923594648,21.2913100523171
192,-157.754727782161,21.2913511036705
193,-157.754659758341,21.2911891213809
194,-157.755740363027,21.2902799319733
195,-157.755903155606,21.290195842664
196,-157.75589659775,21.2903869432029
197,-157.755903155606,21.290195842664
198,-157.755903155606,21.290195842664
199,-157.755858498871,21.2901126526768
200,-157.757081697362,21.2902284880543
201,-157.757156056007,21.2901129107823
202,-157.757209284181,21.2901190315681
203,-157.757156056007,21.2901129107823
204,-157.751445321444,21.2832638143736
205,-157.75155257729,21.2832350684437
206,-157.751661665054,21.2832085195576
207,-157.751738129911,21.2833679756516
208,-157.751706670726,21.2832989140137
209,-157.751661665054,21.2832085195576
210,-157.756935442417,21.2829414829631
211,-157.75699831582,21.2828862385091
212,-157.757043415921,21.2829215315035
213,-157.75699831582,21.2828862385091
214,-157.757477014153,21.2829238607476
215,-157.757459940524,21.2828127746898
216,-157.757536277677,21.2828300911358
217,-157.75767769427,21.2827910677536
218,-157.757815428139,21.2827581255871
219,-157.75361683345,21.2793972098135
220,-157.753588125292,21.2792201440944
221,-157.753513584984,21.2787868849069
222,-157.753475084108,21.2785366602387
223,-157.753461578089,21.2784899692367
224,-157.753461578089,21.2784899692367
225,-157.753435681212,21.2783883548387
226,-157.753386044031,21.2782120751272
227,-157.753357171296,21.2781341560665
228,-157.746201964549,21.2844350599301
229,-157.746493367375,21.2842606696942
230,-157.746493367375,21.2842606696942
231,-157.746394512996,21.2842234341642
232,-157.746895484839,21.2839499350415
233,-157.746765339449,21.2838796305406
234,-157.746142776568,21.2835358269169
235,-157.746232136804,21.2834542062467
236,-157.746142776568,21.2835358269169
237,-157.745974575466,21.2834464999561
238,-157.745491922814,21.2831704242757
239,-157.745032808118,21.2829140689292
240,-157.746279813463,21.2823199426113
241,-157.746312472343,21.2819265215917
242,-157.745377026329,21.2818091097027
243,-157.74532517052,21.2817119343583
244,-157.746490144205,21.2809000228178
245,-157.746526332025,21.2807801620748
246,-157.745640182348,21.2807278485114
247,-157.745003401186,21.2805942290405
248,-157.746862984239,21.2888935389058
249,-157.747143669844,21.2885564235402
250,-157.747143669844,21.2885564235402
251,-157.747394479971,21.2881395652888
252,-157.74731555367,21.2874924922847
253,-157.747371285556,21.2870753390557
254,-157.746605175588,21.2857666231312
255,-157.746454284638,21.2855422827502
256,-157.756408149217,21.2754123515988
257,-157.756466908221,21.2754012332803
258,-157.757435398025,21.2751755717953
259,-157.757489763842,21.2751567876557
260,-157.758596137702,21.2748012253963
261,-157.758790829233,21.2747312869194
262,-157.759067767364,21.2746334721571
263,-157.756176608863,21.2744503540007
264,-157.756246384563,21.2744374433334
265,-157.746165534812,21.2882880955192
266,-157.746169508916,21.2882840359795
267,-157.746169508916,21.2882840359795
268,-157.746384014311,21.2881268776533
269,-157.746611281985,21.2878752482442
270,-157.74643571004,21.287374972477
271,-157.754022012206,21.2797033768094
272,-157.754202352357,21.2796584134051
273,-157.754466435578,21.2795926675676
274,-157.755006713189,21.2794621399659
275,-157.755533398448,21.2793361719268
276,-157.755799317185,21.2792692866483
277,-157.747594819245,21.2799853484451
278,-157.747553657275,21.2797952074829
279,-157.74749757915,21.2795253407219
280,-157.747441090034,21.2792813879258
281,-157.747428674893,21.2792423987178
282,-157.750768256949,21.2793666814272
283,-157.751075263013,21.279037802053
284,-157.748624233621,21.2789156678239
285,-157.748521396145,21.2784749910281
286,-157.757489763842,21.2751567876557
287,-157.7574536048,21.2750437167941
288,-157.757368515445,21.2747686708375
289,-157.757273574016,21.2744573705113
290,-157.757211877826,21.2742448786983
291,-157.756702881333,21.2741183440863
292,-157.757143209192,21.2740307842933
293,-157.749540502492,21.2796161299805
294,-157.749526282412,21.2795584483637
295,-157.750039539893,21.2799879384926
296,-157.749917364295,21.2797232203504
297,-157.749842737652,21.2795648380469
298,-157.749805778214,21.2794930793422
299,-157.753800537964,21.2797570969125
300,-157.753730639957,21.2796218011053
301,-157.753616443144,21.2794109739373
302,-157.75361683345,21.2793972098135
303,-157.745404553677,21.2860899141183
304,-157.745888328683,21.2856811920335
305,-157.745955363249,21.2857836580894
306,-157.745888328683,21.2856811920335
307,-157.756299268297,21.2964500672169
308,-157.756720403724,21.2963980693155
309,-157.753856383166,21.2969287664495
310,-157.754268454326,21.2967013854606
311,-157.753800537964,21.2797570969125
312,-157.754022012206,21.2797033768094
313,-157.755542201012,21.299822659788
314,-157.755566555552,21.2991893365187
315,-157.755566555552,21.2991893365187
316,-157.755485612971,21.2988124774139
317,-157.755283127015,21.2979495014684
318,-157.755393932484,21.2978841432387
319,-157.756336488538,21.2986604973841
320,-157.756563744521,21.2986393336384
321,-157.756137104344,21.2986803741999
322,-157.756336488538,21.2986604973841
323,-157.756280272816,21.3009484994737
324,-157.756157938938,21.3009374000411
325,-157.756380382649,21.3003043654542
326,-157.756421672322,21.2999986661056
327,-157.756421672322,21.2999986661056
328,-157.756229415255,21.299992925733
329,-157.745902099103,21.2947254184434
330,-157.746125921474,21.2943944985074
331,-157.746125930467,21.2943943429246
332,-157.746141334055,21.2941332256679
333,-157.74582455326,21.2937887358615
334,-157.754709468367,21.2995702785456
335,-157.754528373685,21.299546155131
336,-157.754817227833,21.2819041347681
337,-157.755566171542,21.2817254026053
338,-157.748743924393,21.281724390868
339,-157.748779948536,21.2816975604941
340,-157.748145216928,21.2816715682883
341,-157.74830915974,21.2815535070887
342,-157.74830915974,21.2815535070887
343,-157.748459118094,21.2814548658494
344,-157.74844626948,21.2814539224606
345,-157.756757336182,21.2820747118785
346,-157.75672125718,21.2819109696156
347,-157.756648361732,21.2815878512984
348,-157.756595138055,21.2813570690735
349,-157.749600793941,21.2804357190333
350,-157.74958363128,21.2803808289122
351,-157.755724588919,21.2811662581163
352,-157.755726131256,21.2809001775012
353,-157.755726357885,21.2805404540787
354,-157.75572371118,21.2803652967211
355,-157.751272001402,21.2804408199879
