"subc","sum_length_pipe","mean_diam_pipe"
10,458.086184780587,30,10,1,1
11,176.372436535226,30,10,1,1
12,407.937147623288,30,10,1,1
13,303.738056957884,30,10,1,1
14,132.399049600043,30,10,1,1
15,385.614747015876,30,10,1,1
16,219.597552941909,30,10,1,1
17,235.191656252246,30,10,1,1
18,311.872161958175,30,10,1,1
19,346.28335443497,30,10,1,1
21,503.034010047018,30,10,1,1
22,220.373335184601,30,10,1,1
23,90.2317765461883,30,10,1,1
25,153.74438100812,30,10,1,1
26,87.3627671262108,30,10,1,1
27,324.688381398982,30,10,1,1
28,446.719025397205,30,10,1,1
29,73.9921916265505,30,10,1,1
30,189.139317682015,30,10,1,1
31,364.794074465385,30,10,1,1
32,321.243314468848,30,10,1,1
33,474.752910903408,30,10,1,1
35,145.555839966776,30,10,1,1
36,194.487873242246,30,10,1,1
37,231.304859731613,30,10,1,1
46,50.7056387006473,30,10,1,1
88,56.6270979453768,30,10,1,1
93,642.794148108052,30,10,1,1
