"Name","Type","Geom1","Geom2","Geom3","Geom4","Barrels","Culvert"
"396_14","Trapezoidal",1,1,0,0,1,0
"396_15","Trapezoidal",1,1,0,0,1,0
"396_16","Trapezoidal",1,1,0,0,1,0
"396_17","Trapezoidal",1,1,0,0,1,0
"396_18","Trapezoidal",1,1,0,0,1,0
"396_19","Trapezoidal",1,1,0,0,1,0
"396_2","Trapezoidal",1,1,0,0,1,0
"396_20","Trapezoidal",1,1,0,0,1,0
"396_21","Trapezoidal",1,1,0,0,1,0
"396_22","Trapezoidal",1,1,0,0,1,0
"396_23","Trapezoidal",1,1,0,0,1,0
"396_24","Trapezoidal",1,1,0,0,1,0
"396_25","Trapezoidal",1,1,0,0,1,0
"396_26","Trapezoidal",1,1,0,0,1,0
"396_27","Trapezoidal",1,1,0,0,1,0
"396_28","Trapezoidal",1,1,0,0,1,0
"396_29","Trapezoidal",1,1,0,0,1,0
"396_3","Trapezoidal",1,1,0,0,1,0
"396_30","Trapezoidal",1,1,0,0,1,0
"396_31","Trapezoidal",1,1,0,0,1,0
"396_32","Trapezoidal",1,1,0,0,1,0
"396_33","Trapezoidal",1,1,0,0,1,0
"396_34","Trapezoidal",1,1,0,0,1,0
"396_35","Trapezoidal",1,1,0,0,1,0
"396_36","Trapezoidal",1,1,0,0,1,0
"396_37","Trapezoidal",1,1,0,0,1,0
"396_38","Trapezoidal",1,1,0,0,1,0
"396_39","Trapezoidal",1,1,0,0,1,0
"396_4","Trapezoidal",1,1,0,0,1,0
"396_40","Trapezoidal",1,1,0,0,1,0
"396_41","Trapezoidal",1,1,0,0,1,0
"396_42","Trapezoidal",1,1,0,0,1,0
"396_43","Trapezoidal",1,1,0,0,1,0
"396_44","Trapezoidal",1,1,0,0,1,0
"396_45","Trapezoidal",1,1,0,0,1,0
"396_46","Trapezoidal",1,1,0,0,1,0
"396_47","Trapezoidal",1,1,0,0,1,0
"396_48","Trapezoidal",1,1,0,0,1,0
"396_49","Trapezoidal",1,1,0,0,1,0
"396_5","Trapezoidal",1,1,0,0,1,0
